episode,r,l,is_success,dead_loop_events,wall_collision_count
430.0,-189.8,256.0,0.0,234.0,61.0
431.0,-210.0,256.0,0.0,234.0,54.0
432.0,-205.60000000000002,256.0,0.0,213.0,37.0
433.0,-201.0,256.0,0.0,220.0,55.0
434.0,-184.2,256.0,0.0,234.0,69.0
435.0,-199.60000000000005,256.0,0.0,221.0,60.0
436.0,-216.20000000000002,256.0,0.0,228.0,51.0
437.0,-192.2,256.0,0.0,223.0,61.0
438.0,-198.8,256.0,0.0,227.0,52.0
439.0,-193.2000000000001,256.0,0.0,215.0,52.0
440.0,-217.79999999999998,256.0,0.0,230.0,45.0
441.0,-209.4,256.0,0.0,234.0,51.0
442.0,-186.99999999999994,256.0,0.0,233.0,65.0
443.0,-210.79999999999998,256.0,0.0,227.0,52.0
444.0,-208.60000000000002,256.0,0.0,234.0,45.0
445.0,-216.39999999999998,256.0,0.0,200.0,44.0
446.0,-220.0,256.0,0.0,234.0,44.0
447.0,-208.39999999999998,256.0,0.0,234.0,54.0
448.0,-203.0,256.0,0.0,234.0,51.0
449.0,-191.2,256.0,0.0,205.0,62.0
450.0,-212.00000000000003,256.0,0.0,188.0,46.0
451.0,-208.20000000000002,256.0,0.0,220.0,45.0
452.0,-235.39999999999998,256.0,0.0,206.0,33.0
453.0,-198.0,256.0,0.0,222.0,58.0
454.0,-196.6,256.0,0.0,225.0,49.0
455.0,-201.8,256.0,0.0,234.0,49.0
456.0,-194.60000000000005,256.0,0.0,234.0,52.0
457.0,-198.0,256.0,0.0,232.0,66.0
458.0,-190.39999999999998,256.0,0.0,216.0,64.0
459.0,-198.39999999999998,256.0,0.0,224.0,52.0
460.0,-203.79999999999998,256.0,0.0,222.0,58.0
461.0,-194.8,256.0,0.0,234.0,56.0
462.0,-208.00000000000003,256.0,0.0,212.0,42.0
463.0,-195.80000000000007,256.0,0.0,215.0,63.0
464.0,-192.39999999999998,256.0,0.0,206.0,58.0
465.0,-203.59999999999997,256.0,0.0,234.0,50.0
466.0,-225.6,256.0,0.0,205.0,46.0
467.0,-192.0,256.0,0.0,234.0,64.0
468.0,-212.6,256.0,0.0,234.0,41.0
469.0,-203.60000000000002,256.0,0.0,234.0,60.0
470.0,-187.40000000000003,256.0,0.0,234.0,65.0
471.0,-189.60000000000002,256.0,0.0,234.0,58.0
472.0,-203.59999999999997,256.0,0.0,233.0,56.0
473.0,-203.59999999999997,256.0,0.0,216.0,50.0
474.0,-184.40000000000003,256.0,0.0,219.0,68.0
475.0,-198.8,256.0,0.0,234.0,64.0
476.0,-196.0,256.0,0.0,223.0,53.0
477.0,-185.0,256.0,0.0,234.0,71.0
478.0,-188.8,256.0,0.0,218.0,62.0
479.0,-208.6,256.0,0.0,206.0,50.0
480.0,-193.39999999999998,256.0,0.0,231.0,59.0
481.0,-194.39999999999998,256.0,0.0,215.0,54.0
482.0,-182.0,256.0,0.0,234.0,68.0
483.0,-208.99999999999997,256.0,0.0,234.0,47.0
484.0,-201.2,256.0,0.0,219.0,50.0
485.0,-196.60000000000002,256.0,0.0,220.0,59.0
