time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/iterations,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,phase,phase_learning_rate_start,phase_learning_rate_end
1272,256.0,342016,0.0,-2.3,268,167,0.0,0.1782195888459682,-6.782422269679955e-05,0.2,0.1327933073043823,0.0,0.087656669318676,7.566995918750763e-11,0.0002150079999999,1660.0,1,0.0003,5e-05
1279,256.0,344064,0.0,-2.32,268,168,0.0,0.1041448155912803,-6.833140669186833e-05,0.2,0.1456186771392822,0.0,0.0728513970971107,-3.3352989703416823e-09,0.0002144959999999,1670.0,1,0.0003,5e-05
1286,256.0,346112,0.0,-2.36,268,169,0.0,0.1060486073751235,-6.860039165985654e-05,0.2,0.2829979658126831,0.0,0.0659955143928527,-4.5984052121639254e-10,0.000213984,1680.0,1,0.0003,5e-05
1293,256.0,348160,0.0,-2.46,269,170,0.0,0.1118281780203687,-6.938750411791261e-05,0.2,0.2951200604438782,0.0,0.0636949762701988,-3.841705620288849e-09,0.0002134719999999,1690.0,1,0.0003,5e-05
1301,256.0,350208,0.0,-2.52,269,171,0.0,0.1476246068952605,-7.067607266435516e-05,0.2,0.0922332406044006,0.0,0.1191753819584846,5.657784640789032e-09,0.0002129599999999,1700.0,1,0.0003,5e-05
1308,256.0,352256,0.0,-2.52,269,172,0.0,0.0636381405303836,-7.028477475614636e-05,0.2,0.4493642449378967,0.0,0.0231320038437843,-5.0000380724668514e-09,0.0002124479999999,1710.0,1,0.0003,5e-05
1315,256.0,354304,0.0,-2.46,269,173,0.0,0.0968606356203963,-8.186662789739785e-05,0.2,0.2465521693229675,0.0,0.001381111331284,-2.4016480892896657e-08,0.0002119359999999,1720.0,1,0.0003,5e-05
1322,256.0,356352,0.0,-2.44,269,174,0.0,0.0333713880234427,-7.147120122681372e-05,0.2,0.3255420923233032,0.0,0.0257657039910554,7.450580596923829e-10,0.000211424,1730.0,1,0.0003,5e-05
1329,256.0,358400,0.0,-2.54,269,175,0.0,0.0438103667991526,-7.281360876731924e-05,0.2,0.5593390464782715,0.0,0.030009351670742,-1.699663698673248e-09,0.0002109119999999,1740.0,1,0.0003,5e-05
1339,256.0,360448,0.0,-2.66,269,176,0.0,0.186861253195093,-7.40015256269544e-05,0.2,0.1324361562728881,0.0,0.1031777039170265,-1.327134668827057e-09,0.0002103999999999,1750.0,1,0.0003,5e-05
1347,256.0,362496,0.0,-2.72,269,177,0.0,0.2268088840995915,-7.428843755405979e-05,0.2,0.2384097576141357,0.0,0.0357790738344192,-6.577465683221816e-10,0.0002098879999999,1760.0,1,0.0003,5e-05
1354,256.0,364544,0.0,-2.76,269,178,0.0,0.202158219992998,-7.466478209607885e-05,0.2,0.3142848014831543,0.0,0.1487172096967697,-8.381903171539306e-10,0.0002093759999999,1770.0,1,0.0003,5e-05
1362,256.0,366592,0.0,-2.82,269,179,0.0,0.0453242216215585,-7.51034821405483e-05,0.2,0.318601131439209,0.0,0.003212699200958,-1.3795215636491775e-09,0.0002088639999999,1780.0,1,0.0003,5e-05
1370,256.0,368640,0.0,-2.84,269,180,0.0,0.2250395785085857,-7.596744708280312e-05,0.2,0.2186731100082397,0.0,0.3278151452541351,-8.96397978067398e-10,0.0002083519999999,1790.0,1,0.0003,5e-05
1377,256.0,370688,0.0,-2.92,269,181,0.0,0.1712615879951045,-7.634471648998442e-05,0.2,0.1302146315574646,0.0,0.1220148727297782,2.0914012566208843e-08,0.0002078399999999,1800.0,1,0.0003,5e-05
1385,256.0,372736,0.0,-2.92,269,182,0.0,0.2431194496282842,-7.753800919090282e-05,0.2,0.1641131043434143,0.0,0.0697247311472892,-8.96397978067398e-10,0.0002073279999999,1810.0,1,0.0003,5e-05
1393,256.0,374784,0.0,-2.78,268,183,0.0,0.1642881338601,-7.789790670358343e-05,0.2,0.3613579869270324,0.0,0.2238739579916,-1.629814505577087e-10,0.0002068159999999,1820.0,1,0.0003,5e-05
1401,256.0,376832,0.0,-2.86,268,184,0.0,0.0397263269522227,-7.90122559919837e-05,0.2,0.7561387419700623,0.0,0.0032450223807245,1.5483237802982331e-09,0.0002063039999999,1830.0,1,0.0003,5e-05
1408,256.0,378880,0.0,-2.9,268,185,0.0,0.0753840714911348,-7.937850687085301e-05,0.2,0.6038866639137268,0.0,0.0027831429615616,3.725290298461914e-09,0.0002057919999999,1840.0,1,0.0003,5e-05
