time/total_timesteps,train/entropy_loss,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,phase
471040,-0.0095382802654057,0.2236631262116134,0.1087654158473014,2290.0,-0.0035377216234337,1
473088,-0.0027386640256736,0.3019410958280787,0.1134876608848571,2300.0,-0.0003678072360344,1
475136,-0.0032556685822783,0.1592138243373483,0.0168427862226963,2310.0,-4.142042598687112e-05,1
477184,-0.0014677593702799,0.2306627993937581,0.0430542528629303,2320.0,-1.1090585030615327e-05,1
479232,-0.0018803872226271,0.1083515804959461,0.0048112203367054,2330.0,-3.9456470403820275e-06,1
481280,-0.0010060023625555,0.1921316691441461,0.0731867775321006,2340.0,-0.0007137404085369,1
483328,-0.0007820567130693,0.1707608686760068,0.1016536429524421,2350.0,-1.1725351214408876e-07,1
485376,-0.0008377057027246,0.0811307858733925,0.0207664519548416,2360.0,-9.031500667333602e-08,1
487424,-0.000886083972,0.1483976984862238,0.10560242831707,2370.0,-6.539642345160246e-06,1
489472,-0.0007635277986992,0.1250159249611897,0.1641836911439895,2380.0,-1.300277654081583e-06,1
491520,-0.0009583119375747,0.0963856141577707,0.0370709933340549,2390.0,-8.428702130913734e-07,1
493568,-0.0009279134908865,0.17489896005427,0.0606850273907184,2400.0,-5.559588316828012e-07,1
495616,-0.0008952681346272,0.0591291778138838,0.0112500302493572,2410.0,-1.4291785191744563e-06,1
497664,-0.0007138409448089,0.109189605298161,0.0230473075062036,2420.0,-8.542556315660476e-08,1
499712,-0.0008716521115275,0.021505526988767,0.0157322995364666,2430.0,-7.481023203581571e-07,1
501760,-0.0008770268206717,0.0779959050851175,0.0521483942866325,2440.0,-1.6241101548075678e-07,1
503808,-0.0007343725104874,0.1354499097418738,0.1692060828208923,2450.0,-1.4366814866662024e-07,1
505856,-0.0007780257517879,0.0392577000133314,0.026283087208867,2460.0,-2.1054293029010298e-07,1
507904,-0.0009338212963484,0.1776963322961819,0.1368511617183685,2470.0,-5.4761767387390134e-08,1
509952,-0.0010061187480459,0.0233196193177718,0.002143434016034,2480.0,-2.2355234250426295e-07,1
512000,-0.0007545101223513,0.0155290768792838,0.0038075137417763,2490.0,-2.410029992461205e-07,1
514048,-0.0007683209900278,0.0446170645016536,0.0073532122187316,2500.0,-3.57162207365036e-08,1
516096,-0.0006114220770541,0.0701600646454608,0.058288350701332,2510.0,-0.0005849996174219,1
518144,-0.0006338157640129,0.0163462700738818,0.0072108055464923,2520.0,1.469743438065052e-09,1
520192,-0.0004634889046428,0.2043207291397266,0.060532696545124,2530.0,-0.0005888999730814,1
522240,-0.0002824779287038,0.1308825436863117,0.1081423088908195,2540.0,-0.0003198207821696,1
